AMPsuite Statement for On The Way Records,,,,,,,,,,,,,,,,,
Period 2024-10-01 to 2024-10-31,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
This Period: ,,,£ 123.42,,,,,,,,,,,,,,
Bought Forward: ,,,£ 12.58,,,,,,,,,,,,,,
PAYABLE: ,,,£ 136.01,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
You are due a payment of £ 136.01,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Period From,Period To,Transaction Date,Distributor,UPC,Cat. No.,ISRC,Label,Release Title,Track Title,Mix Name,Artist,Content Type,Delivery Method,Territory,Suitebeats Comp.,Quantity,Revenue
2024-09-01,2024-09-30,,YouTube (Subscription),795397960715,,CA5KR2372935,On The Way Records,,Keep Falling,,Nico,Track,Stream,AU,No,1,0.00782
2024-09-01,2024-09-30,,YouTube (Subscription),723277739021,,CA5KR2489986,On The Way Records,,Iab,,"Advanced, jeonghyeon",Track,Stream,AU,No,3,0.023461
2024-09-01,2024-09-30,,YouTube (Subscription),723277739021,,CA5KR2489986,On The Way Records,,Iab,,"Advanced, jeonghyeon",Track,Stream,AU,No,1,0.003377
2024-09-01,2024-09-30,,YouTube (Subscription),723277739021,,CA5KR2489986,On The Way Records,,Iab,,"Advanced, jeonghyeon",Track,Stream,AU,No,1,0.003644
2024-09-01,2024-09-30,,YouTube (Subscription),5063544168891,,GXBNP2427518,On The Way Records,,Personal,,"WHOWHENWHY, Rise Of The JellyFish",Track,Stream,BE,No,1,0.003595
2024-09-01,2024-09-30,,YouTube (Subscription),723277739021,,CA5KR2489986,On The Way Records,,Iab,,"Advanced, jeonghyeon",Track,Stream,BE,No,1,0.003595
2024-09-01,2024-09-30,,YouTube (Subscription),723277369747,,GXBNP2427568,On The Way Records,,Don't Look Back,,ZØDIAK,Track,Stream,BE,No,1,0.003595
2024-09-01,2024-09-30,,YouTube (Subscription),,,GXBNP2427523,On The Way Records,,Angels,,"Naffe, Flare (BR)",Track,Stream,BG,No,1,0.003187
2024-09-01,2024-09-30,,YouTube (Subscription),,,GXBNP2427518,On The Way Records,,Personal,,"WHOWHENWHY, Rise Of The JellyFish",Track,Stream,BG,No,1,0.001562
2024-09-01,2024-09-30,,YouTube (Subscription),723277709499,,CA5KR2485551,On The Way Records,,Tell Me,,Austin Feldman,Track,Stream,BG,No,1,0
2024-09-01,2024-09-30,,YouTube (Subscription),723277728346,,CA5KR2488299,On The Way Records,,Control,,ZØDIAK,Track,Stream,BG,No,1,0
2024-09-01,2024-09-30,,YouTube (Subscription),723277739021,,CA5KR2489986,On The Way Records,,Iab,,"Advanced, jeonghyeon",Track,Stream,BG,No,2,0.006375
2024-09-01,2024-09-30,,YouTube (Subscription),795397719122,,CA5KR2343132,On The Way Records,,Lose Control,,daevo,Track,Stream,BG,No,1,0.001562
2024-09-01,2024-09-30,,YouTube (Subscription),723277386591,,CA5KR2432424,On The Way Records,,Breathe,,Austin Feldman,Track,Stream,BH,No,1,0.0029
2024-09-01,2024-09-30,,YouTube (Subscription),,,GXBNP2427523,On The Way Records,,Angels,,"Naffe, Flare (BR)",Track,Stream,BR,No,1,0.002781
2024-09-01,2024-09-30,,YouTube (Subscription),5063544168891,,GXBNP2427518,On The Way Records,,Personal,,"WHOWHENWHY, Rise Of The JellyFish",Track,Stream,BR,No,3,0.003582
2024-09-01,2024-09-30,,YouTube (Subscription),,,GXBNP2427518,On The Way Records,,Personal,,"WHOWHENWHY, Rise Of The JellyFish",Track,Stream,BR,No,2,0.005563
2024-09-01,2024-09-30,,YouTube (Subscription),,,GXBNP2427518,On The Way Records,,Personal,,"WHOWHENWHY, Rise Of The JellyFish",Track,Stream,BR,No,1,0.00007
2024-09-01,2024-09-30,,YouTube (Subscription),,,GXBNP2427518,On The Way Records,,Personal,,"WHOWHENWHY, Rise Of The JellyFish",Track,Stream,BR,No,1,0
2024-09-01,2024-09-30,,YouTube (Subscription),795397865072,,CA5KR2362773,On The Way Records,,You,,Krupz,Track,Stream,BR,No,1,0.002785
2024-09-01,2024-09-30,,YouTube (Subscription),723277728353,,CA5KR2488300,On The Way Records,,You Make Me Feel,,"Brannco, Sevenkey, Anne Mulcahy",Track,Stream,BR,No,3,0.008355
2024-09-01,2024-09-30,,YouTube (Subscription),723277728353,,CA5KR2488300,On The Way Records,,You Make Me Feel,,"Brannco, Sevenkey, Anne Mulcahy",Track,Stream,BR,No,1,0.001194
2024-09-01,2024-09-30,,YouTube (Subscription),723277728353,,CA5KR2488300,On The Way Records,,You Make Me Feel,,"Brannco, Sevenkey, Anne Mulcahy",Track,Stream,BR,No,1,0.001226
